uid_demq_txt,uid_cat_txt,uid_demcat_txt,uid_demcat_num,resp_type,label_short,label_long,label_full
,all_civ_srv,allrsp,0.00.00.000,primary,All respondents,All respondents,All respondents
grade,grade_aoaa,grade_aoaa,1.01.00.001,primary,AO/AA,AO/AA equivalent,Grade: AO/AA equivalent
grade,grade_eo,grade_eo,1.01.00.002,primary,EO,EO equivalent,Grade: EO equivalent
grade,grade_seoheo,grade_seoheo,1.01.00.003,primary,SEO/HEO,SEO/HEO equivalent,Grade: SEO/HEO equivalent
grade,grade_g6g7,grade_g6g7,1.01.00.004,primary,Grade 6/7,Grade 6/7 equivalent,Grade: Grade 6/7 equivalent
grade,grade_scs,grade_scs,1.01.00.005,primary,SCS,SCS equivalent,Grade: SCS equivalent
locctr,loc_ctr_eng,locctr_eng,1.02.00.001,primary,England,England,Country: England
locctr,loc_ctr_sct,locctr_sct,1.02.00.002,primary,Scotland,Scotland,Country: Scotland
locctr,loc_ctr_wls,locctr_wls,1.02.00.003,primary,Wales,Wales,Country: Wales
locctr,loc_ctr_nir,locctr_nir,1.02.00.004,primary,Northern Ireland,Northern Ireland,Country: Northern Ireland
locctr,loc_ctr_out,locctr_out,1.02.00.005,primary,Outside the UK,Outside the UK,Country: Outisde the UK
loceng,loc_eng_emd,loceng_emd,1.02.01.101,primary,East Midlands,East Midlands,Region: East Midlands
loceng,loc_eng_est,loceng_est,1.02.01.102,primary,East of England,East of England,Region: East of England
loceng,loc_eng_lon,loceng_lon,1.02.01.103,primary,London,London,Region: London
loceng,loc_eng_nee,loceng_nee,1.02.01.104,primary,North East England,North East England,Region: North East England
loceng,loc_eng_nwe,loceng_nwe,1.02.01.105,primary,North West England,North West England,Region: North West England
loceng,loc_eng_see,loceng_see,1.02.01.106,primary,South East England,South East England,Region: South East England
loceng,loc_eng_swe,loceng_swe,1.02.01.107,primary,South West England,South West England,Region: South West England
loceng,loc_eng_wmd,loceng_wmd,1.02.01.108,primary,West Midlands,West Midlands,Region: West Midlands
loceng,loc_eng_yrk,loceng_yrk,1.02.01.109,primary,Yorkshire and the Humber,Yorkshire and the Humber,Region: Yorkshire and the Humber
locsct,loc_sct_cen,locsct_cen,1.02.02.001,primary,Central Scotland,Central Scotland,Region: Central Scotland
locsct,loc_sct_edb,locsct_edb,1.02.02.002,primary,Edinburgh,Edinburgh,Region: Edinburgh
locsct,loc_sct_glg,locsct_glg,1.02.02.003,primary,Glasgow,Glasgow,Region: Glasgow
locsct,loc_sct_his,locsct_his,1.02.02.004,primary,Highlands and Islands,Highlands and Islands,Region: Highlands and Islands
locsct,loc_sct_mid,locsct_mds,1.02.02.005,primary,Mid-Scotland,Mid-Scotland,Region: Mid-Scotland
locsct,loc_sct_nes,locsct_nes,1.02.02.006,primary,North East Scotland,North East Scotland,Region: North East Scotland
locsct,loc_sct_sth,locsct_ssc,1.02.02.007,primary,South Scotland,South Scotland,Region: South Scotland
locsct,loc_sct_wst,locsct_wsc,1.02.02.008,primary,West Scotland,West Scotland,Region: West Scotland
locwls,loc_wls_mid,locwls_mdw,1.02.03.001,primary,Mid-Wales,Mid-Wales,Region: Mid-Wales
locwls,loc_wls_nth,locwls_nwl,1.02.03.002,primary,North Wales,North Wales,Region: North Wales
locwls,loc_wls_sew,locwls_sew,1.02.03.003,primary,South East Wales,South East Wales,Region: South East Wales
locwls,loc_wls_sww,locwls_sww,1.02.03.004,primary,South West Wales,South West Wales,Region: South West Wales
timjob,yrs_les_six,timjob_lt006m,1.03.01.001,primary,Less than 6 months,Less than 6 months,Time in job: Less than 6 months
timjob,yrs_les_one,timjob_lt001y,1.03.01.002,primary,Less than 1 year,Less than 1 year,Time in job: Less than 1 year
timjob,yrs_six_one,timjob_06m01y,1.03.01.003,primary,6 months to 1 year,At least 6 months but less than 1 year,Time in job: At least 6 months but less than 1 year
timjob,yrs_one_thr,timjob_01y03y,1.03.01.004,primary,1 to 3 years,At least 1 year but less than 3 years,Time in job: At least 1 year but less than 3 years
timjob,yrs_thr_fiv,timjob_03y05y,1.03.01.005,primary,3 to 5 years,At least 3 years but less than 5 years,Time in job: At least 3 years but less than 5 years
timjob,yrs_fiv_ten,timjob_05y10y,1.03.01.006,primary,5 to 10 years,At least 5 years but less than 10 years,Time in job: At least 5 years but less than 10 years
timjob,yrs_ten_twe,timjob_10y20y,1.03.01.007,primary,10 to 20 years,At least 10 years but less than 20 years,Time in job: At least 10 years but less than 20 years
timjob,yrs_ten_mor,timjob_gt010y,1.03.01.008,primary,More than 10 years,At least 10 years or more,Time in job: At least 10 years or more
timjob,yrs_twe_mor,timjob_gt020y,1.03.01.009,primary,More than 20 years,At least 20 years or more,Time in job: At least 20 years or more
timorg,yrs_les_six,timorg_lt006m,1.03.02.001,primary,Less than 6 months,Less than 6 months,Time in organisation: Less than 6 months
timorg,yrs_les_one,timorg_lt001y,1.03.02.002,primary,Less than 1 year,Less than 1 year,Time in organisation: Less than 1 year
timorg,yrs_six_one,timorg_06m01y,1.03.02.003,primary,6 months to 1 year,At least 6 months but less than 1 year,Time in organisation: At least 6 months but less than 1 year
timorg,yrs_one_thr,timorg_01y03y,1.03.02.004,primary,1 to 3 years,At least 1 year but less than 3 years,Time in organisation: At least 1 year but less than 3 years
timorg,yrs_thr_fiv,timorg_03y05y,1.03.02.005,primary,3 to 5 years,At least 3 years but less than 5 years,Time in organisation: At least 3 years but less than 5 years
timorg,yrs_fiv_ten,timorg_05y10y,1.03.02.006,primary,5 to 10 years,At least 5 years but less than 10 years,Time in organisation: At least 5 years but less than 10 years
timorg,yrs_ten_twe,timorg_10y20y,1.03.02.007,primary,10 to 20 years,At least 10 years but less than 20 years,Time in organisation: At least 10 years but less than 20 years
timorg,yrs_ten_mor,timorg_gt010y,1.03.02.008,primary,More than 10 years,At least 10 years or more,Time in organisation: At least 10 years or more
timorg,yrs_twe_mor,timorg_gt020y,1.03.02.009,primary,More than 20 years,At least 20 years or more,Time in organisation: At least 20 years or more
timciv,yrs_les_six,timciv_lt006m,1.03.03.001,primary,Less than 6 months,Less than 6 months,Time in the Civil Service: Less than 6 months
timciv,yrs_les_one,timciv_lt001y,1.03.03.002,primary,Less than 1 year,Less than 1 year,Time in the Civil Service: Less than 1 year
timciv,yrs_six_one,timciv_06m01y,1.03.03.003,primary,6 months to 1 year,At least 6 months but less than 1 year,Time in the Civil Service: At least 6 months but less than 1 year
timciv,yrs_one_thr,timciv_01y03y,1.03.03.004,primary,1 to 3 years,At least 1 year but less than 3 years,Time in the Civil Service: At least 1 year but less than 3 years
timciv,yrs_thr_fiv,timciv_03y05y,1.03.03.005,primary,3 to 5 years,At least 3 years but less than 5 years,Time in the Civil Service: At least 3 years but less than 5 years
timciv,yrs_fiv_ten,timciv_05y10y,1.03.03.006,primary,5 to 10 years,At least 5 years but less than 10 years,Time in the Civil Service: At least 5 years but less than 10 years
timciv,yrs_ten_twe,timciv_10y20y,1.03.03.007,primary,10 to 20 years,At least 10 years but less than 20 years,Time in the Civil Service: At least 10 years but less than 20 years
timciv,yrs_ten_mor,timciv_gt010y,1.03.03.008,primary,More than 10 years,At least 10 years or more,Time in the Civil Service: At least 10 years or more
timciv,yrs_twe_mor,timciv_gt020y,1.03.03.009,primary,More than 20 years,At least 20 years or more,Time in the Civil Service: At least 20 years or more
manage,mgr_mgr,manage_mgr,1.04.00.001,primary,Manager,Manages others,Manager status: Manages others
manage,mgr_non,manage_nmg,1.04.00.002,primary,Non-manager,Not a manager,Manager status: Not a manager
wkptrn,wpt_ful,wkptrn_ful,1.05.01.001,primary,Full-time,Full-time,Working pattern (hours): Full-time
wkptrn,wpt_prt,wkptrn_prt,1.05.01.002,primary,Part-time,Part-time,Working pattern (hours): Part-time
wkptrn,wpt_jsh,wkptrn_jsh,1.05.01.003,primary,Job-share,Job-share,Working pattern (hours): Job-share
wrkplc,wpl_wpl,wrkplc_wpl,1.05.02.001,primary,Workplace,Workplace-based,Working pattern (location): Workplace-based
wrkplc,wpl_hyb,wrkplc_hyb,1.05.02.002,primary,Hybrid,Hybrid (mixed workplace/home/other),Working pattern (location): Hybrid (mixed workplace/home/other)
